"control_1" "control_2" "control_3" "feStarved_1" "feStarved_2" "feStarved_3" "h2o2Treated_1" "h2o2Treated_2" "h2o2Treated_3" "feStarved_h2o2Treated_1" "feStarved_h2o2Treated_2" "feStarved_h2o2Treated_3"
"Afu6g11270" 1003 756 655 807 801 731 978 842 728 2647 2123 2357
"Afu6g07350" 152 126 141 746 1387 962 403 268 242 500 897 342
"Afu1g10460" 263 274 236 330 321 343 305 276 256 145 37 140
"Afu5g00990" 5 8 4 0 1 3 3 7 10 1 0 0
"Afu4g06050" 12 9 7 35 23 28 15 10 9 17 6 12
"Afu2g13240" 3491 2759 2607 3251 3433 3584 3294 3135 2636 3150 1083 3175
"Afu4g06940" 1550 1403 1452 2653 3124 3369 1710 1752 1367 4489 6075 4179
"Afu8g06200" 19 11 17 15 18 18 21 22 16 30 15 20
"Afu4g04060" 1377 1137 1042 904 1037 1063 1403 1393 1204 675 344 942
"Afu2g13570" 1409 1445 1242 1045 1107 1406 1356 1395 1203 603 517 572
"Afu3g02700" 27 22 17 43 43 64 12 9 10 125 84 94
"Afu7g01650" 226 182 199 446 417 396 325 219 179 211 95 159
"Afu1g00720" 0 5 4 15 7 9 6 2 3 0 1 1
"Afu1g00230" 671 520 490 724 721 777 873 767 579 1128 696 1135
"Afu6g07740" 1118 887 749 1545 1519 1740 1355 1231 1059 1771 925 1696
"Afu2g00190" 0 0 0 0 0 0 1 0 2 0 0 1
"Afu6g11520" 7 7 6 7 20 18 29 11 18 10 45 5
"Afu1g13550" 1976 1551 1389 708 965 1037 1212 1361 1138 4119 4447 3436
"Afu5g05790" 2413 1923 1864 1536 1681 1743 2927 2268 1960 4307 3537 4472
"Afu2g15110" 210 153 161 1993 1447 1790 485 761 506 708 237 744
"Afu8g02310" 28 31 29 64 63 58 67 32 49 1 0 3
"Afu5g10540" 1190 834 889 836 844 843 875 862 676 569 111 528
"Afu8g00320" 0 1 0 0 0 0 1 0 1 0 0 0
"Afu4g08420" 635 637 1304 3711 3609 4905 600 600 497 446 3548 985
"Afu6g03130" 72 49 45 86 115 77 82 50 51 56 30 73
"Afu1g15500" 546 509 391 652 553 631 626 485 423 354 445 322
"Afu1g05750" 194 182 157 218 304 276 320 201 154 607 690 534
"Afu3g01610" 74 76 111 189 148 196 166 351 213 121 84 115
"Afu3g14630" 25 26 17 12 23 16 33 20 30 12 8 4
"Afu3g03540" 3 0 4 0 3 0 2 3 2 4 3 2
"Afu6g11510" 667 642 566 379 451 453 874 772 560 166 97 115
"Afu4g04130" 1502 1258 1145 1168 1306 1370 1675 1627 1360 1527 3611 1362
"Afu4g13000" 505 433 388 917 828 842 828 590 471 435 227 340
"Afu7g03780" 1738 794 744 386 614 475 1120 953 867 892 490 844
"Afu5g12840" 942 920 918 111 160 164 1941 1538 1196 120 42 106
"Afu5g08950" 2061 1620 1604 1748 1846 2098 1695 1549 1304 553 254 480
"Afu8g06460" 224 172 194 96 201 185 386 246 217 63 69 66
"Afu4g08140" 1989 3331 3341 2332 2398 2706 3469 3346 2527 3718 4537 3688
"Afu2g14480" 107 97 120 2518 2327 3030 320 415 271 153 54 194
"Afu5tN(GUU)3" 2 1 0 0 0 0 0 0 0 0 1 1
"Afu2g13270" 383 336 307 496 424 518 697 557 465 450 91 441
"Afu5g12500" 136 105 104 190 234 205 194 146 105 118 61 84
"Afu3g01020" 199 180 160 236 252 237 310 253 230 287 114 272
"Afu4g13900" 163 107 94 817 860 838 182 159 188 124 37 59
"Afu6g07130" 58 84 80 161 141 158 172 184 135 83 54 86
"Afu3g11990" 1241 1064 1062 1955 2184 2350 1515 1559 1238 2923 2068 2795
"Afu5g09950" 99 88 110 312 276 367 145 149 85 442 368 577
"Afu2g01540" 672 610 562 747 710 750 828 725 594 1115 436 1026
"Afu3g03020" 638 419 427 345 308 335 462 432 411 66 13 41
"Afu5g09570" 229 205 158 330 321 332 287 244 164 591 477 508
"Afu1tS(GCU)3" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu2g07620" 3080 2665 2665 2210 2273 2359 4187 3740 3022 6149 4181 6387
"Afu3g15060" 2 0 0 13 17 6 0 0 0 4 3 4
"Afu2g09870" 2608 2646 2390 1449 1421 1666 2969 2823 2463 1195 641 1193
"Afu5g03090" 986 1045 943 702 865 983 964 1073 899 251 196 229
"Afu4g08160" 7 1 6 3 0 4 5 3 3 2 1 0
"Afu1g00630" 366 149 103 38 46 27 202 185 147 178 320 206
"Afu2g03500" 452 399 335 413 425 500 1244 1026 735 337 218 271
"Afu4g14390" 450 584 559 1260 1227 1567 1168 1083 877 1912 2547 2355
"Afu5g07730" 132 88 103 88 63 58 128 103 67 304 298 222
"Afu1g05730" 728 672 641 1081 1177 1212 829 737 572 897 320 943
"Afu4g09330" 1672 1548 1897 1667 1931 2310 1132 2336 1879 515 480 547
"Afu8g01310" 779 751 863 10 7 3 105 518 225 5 4 2
"Afu6g12450" 198 177 142 185 191 211 249 172 141 254 118 290
"Afu2g14780" 102 159 121 50 33 34 360 100 139 42 35 46
"Afu6g02080" 257 187 179 566 547 698 478 437 362 612 338 600
"Afu2g13650" 154 132 130 211 267 288 185 197 161 153 38 156
"Afu2g01690" 59 32 28 35 35 37 40 36 38 217 31 187
"Afu1g17730" 0 3 5 4 2 4 4 4 0 0 1 0
"Afu5g08380" 1658 1513 1321 957 994 1140 1198 1363 1176 342 585 281
