"control_1" "control_2" "control_3" "feStarved_1" "feStarved_2" "feStarved_3" "h2o2Treated_1" "h2o2Treated_2" "h2o2Treated_3" "feStarved_h2o2Treated_1" "feStarved_h2o2Treated_2" "feStarved_h2o2Treated_3"
"Afu5g12690" 758 737 609 391 346 411 1340 641 722 173 170 158
"Afu8g02230" 0 1 1 1 1 1 1 2 1 1 0 1
"Afu2g05270" 28 17 24 27 22 36 45 25 10 62 27 43
"Afu6g13540" 6344 5217 5048 7490 7438 7943 8754 7315 6061 10607 7819 9988
"Afu7g08237" 64 55 54 44 28 59 260 114 94 21 23 18
"Afu3g07640" 137610 86285 81543 28482 43480 41402 93571 107762 82319 38999 80613 40113
"Afu4g07670" 977 886 687 1067 1163 1148 1001 934 708 846 632 753
"Afu3g08200" 2325 1855 1973 1505 1687 1772 2259 1939 1556 2417 1050 2404
"Afu2g07480" 749 728 717 530 612 665 1256 1021 844 291 76 224
"Afu8g02520" 46 37 43 50 45 38 42 19 32 7 13 10
"Afu3g03980" 6 7 7 14 16 15 10 7 1 3 4 8
"Afu6g08850" 1635 1481 1530 1686 1832 2124 1607 1633 1414 1727 2383 2235
"Afu7g08340" 1954 858 848 964 732 917 649 976 862 350 359 297
"Afu3g01910" 34 30 31 80 71 87 45 33 24 34 27 28
"Afu7g01400" 1521 1166 1086 1007 1323 1233 1704 1450 1077 1292 1662 1230
"Afu6g11300" 1000 683 626 294 323 334 690 547 474 141 133 137
"Afu4g04370" 58 34 32 122 121 113 88 50 44 78 59 80
"Afu4g04420" 308 328 245 483 478 513 469 345 307 871 346 832
"Afu1tQ(CUG)5" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu1g06380" 220 225 202 375 335 431 310 317 215 348 193 332
"Afu2g14190" 1251 1272 1056 1534 1600 1978 1373 1266 1054 1163 1007 1410
"Afu7g06790" 5 15 20 19 13 9 20 16 7 44 23 31
"Afu5g00510" 3 5 9 8 5 12 6 5 4 9 10 13
"Afu7g04860" 544 572 557 626 567 796 837 725 628 265 209 159
"Afu5g00100" 0 0 0 4 1 0 2 1 4 0 0 1
"Afu5g10980" 27 31 37 42 39 47 46 46 23 10 6 11
"Afu3g06460" 13458 9496 9210 6307 6858 7105 8792 9352 7954 8482 8962 8997
"Afu4g02850" 96 55 53 25 20 24 31 24 23 35 49 37
"Afu1g01920" 163 135 141 33 47 50 296 314 252 9 2 8
"Afu4g04650" 3328 2942 2733 5348 7173 7177 5339 2944 2707 1349 1626 1237
"Afu5g00180" 0 0 0 0 0 0 1 0 0 0 0 0
"Afu4g08280" 465 427 346 585 561 539 925 539 456 444 206 337
"Afu6g00196" 1 0 0 0 1 0 1 0 0 0 1 0
"Afu2g03120" 27376 18068 18677 11884 14136 13973 14418 14005 11954 7098 10588 6465
"Afu1g13050" 6941 3769 3436 1094 1262 1227 2854 2411 2060 3210 7154 3343
"Afu1g13650" 5 11 7 7 4 2 12 4 6 6 7 6
"Afu8g02460" 181 150 162 199 214 240 260 293 204 149 102 115
"Afu3g13200" 191 196 186 260 287 269 324 224 200 113 49 70
"Afu1g12600" 79 66 56 141 136 143 112 83 60 55 19 40
"Afu1g02960" 502 511 487 107 186 176 583 423 455 85 205 123
"Afu6g13410" 3323 2946 2640 3006 3199 3703 3676 3316 2887 2324 1733 1859
"Afu2g17900" 546 412 483 35 27 36 199 135 131 7 3 2
"Afu6g04070" 291 253 219 513 476 526 402 296 211 767 570 712
"Afu7g02150" 12 20 14 25 21 20 36 20 14 10 11 11
"Afu3g06430" 464 336 364 462 510 512 555 422 313 602 736 633
"Afu1g11380" 1933 1172 1042 486 622 574 841 892 836 420 415 492
"Afu5g05680" 4353 4100 4107 4900 4890 5898 5878 6015 5095 5073 2695 5218
"Afu5g08110" 406 372 311 674 561 723 526 428 325 1093 919 1177
"Afu3g08740" 1164 845 723 899 1035 894 909 718 568 763 717 597
"Afu5g07260" 652 551 482 791 772 795 762 633 471 881 267 858
"Afu8g07240" 23 18 22 33 25 29 29 22 23 45 31 46
"Afu4g07040" 1772 1198 1082 2452 2775 2880 1683 1649 1128 717 163 597
"Afu3g01030" 67 77 81 225 196 159 233 114 100 200 14 107
"Afu7g01890" 151 101 98 106 87 110 290 157 125 203 45 141
"Afu1g15610" 218 359 240 130 118 107 474 297 289 77 261 71
"Afu1g16230" 399 357 349 382 472 511 502 476 338 250 136 225
"Afu3g01240" 26 67 68 114 128 198 130 331 231 15 185 39
"Afu4g01080" 0 0 4 8 7 8 2 2 1 65 77 86
"Afu2g03980" 36 34 56 146 124 165 83 99 95 54 30 56
"Afu1g05600" 31 25 23 40 37 43 59 46 46 20 7 12
"Afu5g02950" 759 676 654 293 478 391 800 767 640 90 237 74
"Afu5g09300" 1452 1172 1081 2889 2876 3018 2271 1670 1368 3330 1954 3257
"Afu3g07850" 647 440 448 698 789 677 982 663 562 660 263 642
"Afu2g15520" 358 309 262 337 356 325 446 382 302 296 85 228
"Afu6g12820" 1866 1397 1438 6371 6263 7601 2284 1899 1521 1860 561 1750
"Afu6g08940" 774 662 648 223 254 289 394 351 327 2092 2304 1944
"Afu7g01560" 11 12 12 20 25 27 36 16 10 3 4 4
"Afu7g06350" 1938 1634 1520 504 561 532 2069 1751 1518 60 19 47
"Afu4g07510" 1575 1430 1384 1840 1970 2071 2359 2100 1636 4061 1868 4284
"Afu3g12740" 872 413 370 187 231 182 235 221 189 663 574 955
"Afu2g00625" 11 8 6 9 10 13 8 7 12 1 2 2
"Afu7g01595" 6 11 4 20 32 19 11 8 13 6 6 5
"Afu4g03930" 7533 8519 9063 27 25 29 2408 6480 4434 25 34 36
"Afu6g09950" 736 661 602 655 669 784 856 892 713 1606 923 1616
"Afu3g01940" 44 37 30 57 53 56 50 55 53 86 43 45
"Afu6g14520" 23 28 18 30 30 24 34 38 20 6 8 2
"Afu3g01950" 56 44 48 41 36 42 45 39 35 16 1 20
"Afu4g10450" 30 26 11 51 45 33 61 25 18 28 17 10
"Afu3g13240" 266 211 168 200 177 191 390 270 208 158 53 110
"Afu5g04190" 1161 1149 967 2127 2306 2508 1643 1279 1100 661 423 666
"Afu7g01750" 132 115 112 178 164 184 160 165 126 43 27 28
"Afu8g00220" 1023 652 582 437 682 646 773 552 529 46 22 67
"Afu1g01480" 7 4 5 4 4 10 5 2 2 4 5 6
"Afu1g10860" 1318 1063 986 970 1261 1237 1260 1227 995 662 487 566
"Afu4g03615" 0 2 0 1 0 1 1 0 0 1 1 0
"Afu1g14110" 1155 960 892 954 1036 1245 1328 1208 974 678 571 582
"Afu2g14170" 15 16 8 4 16 13 9 4 3 9 5 9
"Afu1g09850" 846 824 775 912 885 1075 979 914 758 338 192 298
"Afu5g11410" 109 78 66 75 76 79 93 87 84 105 50 125
"Afu1g11270" 24 9 10 53 59 46 22 16 5 36 84 43
"Afu5g09650" 547 430 394 809 749 770 785 664 571 1537 1031 1232
"Afu5g09000" 598 456 420 441 476 440 792 638 485 572 217 511
"Afu5g05560" 574 579 490 1028 871 1121 1085 763 621 340 141 277
"Afu1g05870" 643 562 447 416 510 467 725 619 527 2195 3308 1893
"Afu1g00760" 1088 638 722 836 916 981 1231 970 904 701 1126 482
"Afu1g11720" 97 68 88 93 133 118 94 91 64 314 1697 304
"Afu2g08740" 945 650 587 196 256 228 1049 948 747 806 1926 844
"Afu1g17060" 9 9 7 27 29 28 45 16 14 11 7 7
"Afu5g13715" 1145 1117 1001 3392 3699 4433 2324 2930 2155 2531 1438 2669
"Afu3g13496" 62 48 42 94 113 102 87 66 55 50 14 59
"Afu4g02610" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu1g14130" 34 32 28 49 53 50 34 23 35 15 11 8
"Afu5g08940" 603 440 406 330 333 295 605 536 442 320 25 225
"Afu1g13460" 210 179 193 186 144 154 221 165 130 184 85 191
"Afu7g08220" 1334 997 920 1210 1394 1385 1791 1602 1316 2374 2514 2364
"Afu3g00280" 106 62 68 166 155 196 167 96 92 18 18 25
"Afu5g02050" 227 194 201 257 266 278 407 235 204 172 41 153
"Afu5g00280" 6 9 1 2 4 1 10 7 10 0 0 0
"Afu3g03040" 20 3 4 0 3 1 3 4 5 2 7 4
"Afu2g04220" 171 168 164 278 201 234 287 197 151 636 241 583
"Afu6g00110" 57 73 61 32 37 55 185 71 83 9 2 5
"Afu1g02880" 469 475 463 375 422 463 740 734 616 234 388 248
"Afu8g00620" 1077 725 745 1713 2245 2240 978 728 658 90 50 68
"Afu6g14600" 0 0 0 0 1 0 0 0 0 0 0 0
"Afu6g09060" 1049 935 888 656 616 750 1156 1093 866 435 279 466
"Afu4g10950" 473 367 350 562 567 554 767 537 469 1463 608 1264
"Afu2g16730" 240 165 144 287 261 299 270 205 156 300 124 334
"Afu1g00470" 661 515 460 769 777 771 965 989 741 827 314 679
"Afu1g09110" 256 195 163 231 306 272 359 258 212 344 161 376
"Afu1g06300" 1824 1720 1596 1499 1347 1499 2603 2241 1911 2460 1131 2412
"Afu8g04820" 350 319 247 456 403 424 489 382 313 433 272 404
"Afu1g01260" 5 1 5 3 3 2 3 2 2 0 2 0
"Afu2g09310" 3108 2786 2598 3320 3433 3842 3204 3259 2545 2162 1146 2251
"Afu1g07020" 265 251 243 244 252 263 382 320 269 181 116 157
"Afu5g02490" 126 92 66 35 28 26 124 51 57 57 32 25
"Afu1g02380" 20 25 20 44 29 50 37 25 23 161 16 177
"Afu3g13000" 423 318 300 882 866 942 548 414 323 1618 1521 2251
"Afu4g11980" 2727 2488 2408 2682 2601 3032 4156 3810 3272 6136 3668 6336
"Afu4g07640" 526 447 394 527 537 652 626 561 454 613 273 588
"Afu3g02060" 377 337 372 1010 948 1137 372 678 376 304 459 249
"Afu3g00680" 497 423 376 375 351 447 948 639 596 224 139 293
"Afu6g01900" 1602 1112 1002 1819 2092 2079 834 1200 934 228 170 236
"Afu3g07210" 19 12 13 19 13 10 29 14 26 3 3 1
"Afu3g08350" 468 399 360 416 414 419 700 568 406 1087 569 938
"Afu3g09830" 476 381 358 614 733 622 549 623 485 3232 1909 3608
"Afu3g14290" 292 284 236 346 283 292 435 287 275 213 63 165
"Afu7g01260" 2474 2723 2486 712 862 782 2637 1903 1608 342 1411 476
"Afu1g13510" 2054 1643 1612 299 387 401 2191 2188 1783 234 214 192
"Afu7g02620" 858 889 748 1102 1164 1516 1337 1133 1009 752 640 755
"Afu1g10330" 474 400 351 671 689 672 822 620 497 577 454 480
"Afu6g02930" 555 468 481 519 578 548 886 684 513 617 736 621
"Afu7g03950" 122 121 95 174 192 208 196 143 106 222 102 211
"Afu4g13260" 159 130 116 291 288 316 189 142 110 503 289 404
"Afu4g13320" 3644 2707 2872 3248 4820 4552 3323 3039 2287 1875 637 1519
"Afu7g01510" 1331 1114 1106 2316 2508 2800 1508 1629 1278 1170 2328 1218
"Afu3g13860" 735 809 640 1399 1257 1524 1866 980 984 484 738 453
"Afu4g09610" 54 41 39 70 67 62 83 55 43 37 15 40
"Afu1g12550" 4849 3842 3787 4305 5200 5458 4453 4149 3449 3370 2388 2881
"Afu3g05460" 1356 1292 1249 1125 1247 1343 1677 1595 1300 677 577 700
"Afu5g08820" 916 773 749 1244 1434 1388 1336 919 764 1947 1404 2035
"Afu8g02550" 5787 3164 2813 6028 6959 5704 6406 6357 4802 2754 876 1953
"Afu4g11520" 68 74 61 87 83 63 108 85 60 31 42 42
"Afu2g14655" 1201 1126 1438 2968 2719 3529 1623 2459 1780 1071 2468 1696
"Afu5g00600" 393 295 297 144 137 145 92 84 89 52 114 50
"Afu3g11130" 632 605 539 671 715 660 954 816 679 1099 590 1030
"Afu2g05370" 357 250 261 93 161 123 351 339 278 119 122 113
"Afu1g09620" 657 543 487 893 881 918 806 669 537 1014 380 997
"Afu5g10300" 48 40 33 24 19 21 22 34 18 7 5 5
"Afu5g14720" 38 42 34 88 62 99 104 65 47 33 4 24
"Afu6g14160" 139 70 89 101 130 98 167 147 126 114 50 56
"Afu5g02570" 2581 2317 2330 1725 2676 2571 2590 2621 2145 1848 890 1615
"Afu7g04570" 586 453 499 4660 4534 5049 856 484 448 5716 1115 6620
"Afu8g04990" 47 40 29 34 27 37 80 47 32 12 3 8
"Afu4g06870" 2372 2101 1898 3461 3720 3961 3986 2988 2299 1468 874 1355
"Afu5g03740" 200 149 117 82 98 96 242 188 168 86 12 89
"Afu4g06060" 551 509 487 1089 1249 1286 640 655 464 402 154 418
"Afu4g01060" 152 134 94 84 102 77 180 140 116 69 79 66
"Afu5g13440" 314 372 276 957 891 1149 821 1368 991 1326 475 1392
"Afu1g07640" 646 596 562 907 797 878 950 917 734 515 177 456
"Afu5g06230" 881 781 677 84 110 84 1526 742 801 6 6 5
"Afu5g02860" 698 427 388 1891 2012 2294 433 519 359 209 109 173
"Afu2g13080" 397 376 358 458 408 449 552 439 328 181 122 214
"Afu7g05900" 243 173 162 342 333 368 175 232 160 570 524 646
"Afu1g12150" 1464 1326 1240 1799 1761 2032 1981 1662 1308 1041 680 882
"Afu3g13580" 55 135 124 10 12 9 220 125 149 5 9 3
"Afu6g09780" 0 2 0 2 2 5 1 0 3 1 4 4
"Afu1g03470" 9 12 6 10 3 2 19 10 4 3 3 4
"Afu3g01170" 3 7 4 6 4 1 2 1 1 4 2 2
"Afu5g07690" 156 141 119 122 90 93 176 146 123 52 18 45
"Afu5g09120" 9 12 7 3 2 6 8 5 3 3 12 4
"Afu7g00160" 16 23 20 16 35 21 15 298 79 13 7 6
"Afu1g05190" 1365 1199 1156 1756 1987 2111 1395 1311 1075 2199 1839 2175
"Afu1g16200" 377 221 205 606 485 553 385 385 301 313 112 268
"Afu2g10150" 529 454 505 629 754 737 717 616 450 645 174 641
"Afu1g11490" 1123 738 707 1209 1236 1231 1345 1136 900 2100 1027 2095
"Afu1g04280" 1417 1195 1241 1092 1156 1198 1375 1642 1266 1622 1392 1609
"Afu1g04670" 3909 2847 2834 3684 4350 4487 3580 3140 2607 7100 10227 6690
"Afu6g04400" 547 533 447 700 681 653 764 635 488 900 530 791
"Afu1g03480" 14 27 13 15 12 13 29 18 13 11 3 12
"Afu2g11920" 432 314 283 1041 1113 1174 404 441 288 231 110 156
"Afu6g10230" 32 36 29 21 30 20 48 39 31 33 12 26
"Afu6g02350" 227 146 135 186 182 211 264 282 179 172 103 154
"Afu5g09930" 449 397 379 757 840 966 551 296 341 522 150 629
"Afu7g01100" 0 0 0 1 1 0 1 0 0 0 0 0
"Afu1g16410" 51 29 39 61 80 86 75 42 39 32 13 21
"Afu2g02150" 7215 6648 6150 2784 2618 2843 6670 7200 5815 768 329 558
"Afu5g13550" 103 73 81 29 34 46 62 56 51 814 833 793
"Afu4g03360" 25568 21878 20012 12076 14009 13770 24564 21942 19486 10078 29504 9710
"Afu4g14610" 126 134 121 130 114 159 133 134 124 52 11 51
"Afu5g14315" 50 39 52 74 94 92 56 62 43 55 24 45
"Afu1g13850" 295 267 214 323 365 342 514 370 289 1217 1389 1131
"Afu2g11440" 1456 1195 1171 1316 1325 1363 2100 1591 1327 2338 855 2252
"Afu4g10770" 247 214 227 1050 1047 1384 1960 3477 2295 199 95 170
"Afu6g07990" 250 288 256 160 157 176 249 246 256 130 350 92
"Afu1g17540" 1 0 0 2 0 2 2 0 2 2 3 4
"Afu5g09620" 330 328 244 137 125 140 337 344 240 128 67 117
"Afu5g08680" 252 286 234 428 345 403 545 332 309 204 113 170
"Afu1g09780" 1319 1105 1034 927 1012 1097 1290 1211 1005 1180 542 1114
"Afu3g01590" 2997 2111 2075 2003 2460 2384 1784 1867 1504 2420 2526 2085
"Afu1g01780" 468 310 278 309 421 351 414 360 281 701 679 646
"Afu1g05340" 5231 4925 4543 2734 2682 3020 4512 5078 4110 889 323 653
"Afu2g09090" 2402 2309 2101 2520 2406 2779 2185 2223 1838 1689 884 1800
"Afu1g15890" 566 447 457 1108 1102 1195 946 726 581 6260 6998 6431
"Afu6g09770" 48 53 69 12 18 27 100 50 49 54 59 40
"Afu7g03710" 633 456 452 879 852 881 710 574 438 370 209 379
"Afu2g03730" 18857 13628 15074 461 1633 812 7206 13344 8273 675 135 640
"Afu2g12890" 493 466 422 416 374 470 428 478 387 131 123 96
"Afu2g10070" 4201 4150 3740 3704 3943 4386 3791 4674 3651 1236 687 662
"Afu8g06785" 0 0 0 0 0 0 0 0 0 1 0 0
"Afu7g04140" 453 346 273 520 433 455 490 423 309 651 643 685
"Afu1g03170" 15 23 22 182 168 203 61 43 30 120 266 162
"Afu7g06675" 21 29 22 42 31 30 68 39 31 14 6 11
"Afu2g00870" 111 101 96 488 444 508 334 199 174 83 37 64
"Afu7g06730" 0 0 2 0 1 2 1 1 1 1 0 1
"Afu5g01500" 448 297 336 176 213 223 304 304 268 274 185 284
"Afu5g08560" 850 760 664 1016 1080 1108 1368 1038 836 1200 588 1052
"Afu3g11800" 86 59 52 323 249 340 123 125 96 67 13 58
"Afu5g03830" 81 70 55 27 29 25 63 51 55 267 293 232
"Afu3g01370" 37 44 43 43 53 69 98 50 50 47 19 52
"Afu5g14670" 2128 1665 1667 2216 2478 2674 2023 2384 1934 775 365 838
"Afu6g00210" 0 0 1 1 0 1 0 0 0 2 0 2
"Afu4g11313" 63 67 66 100 87 105 72 66 72 32 112 67
"Afu2g01780" 838 708 661 418 439 539 540 713 592 209 214 223
"Afu3g03130" 53 73 57 89 74 86 98 90 79 29 101 24
"Afu3g02000" 2373 2873 3038 1443 1547 1624 5043 4480 3379 341 649 413
"Afu5g01430" 204 509 470 94 94 81 440 294 200 225 233 211
"Afu5g06820" 32 26 31 283 217 259 26 45 40 3157 4224 4246
"Afu6g13980" 23948 17892 14280 254 364 377 17830 12016 12855 134 58 102
"Afu5tE(CUC)7" 4 2 1 7 4 4 1 0 2 0 0 3
"Afu2g14940" 405 349 303 488 441 503 789 567 474 493 394 399
"Afu7g04680" 142 119 88 239 247 229 206 154 119 120 20 90
"Afu2g05325" 2391 2089 1984 571 649 591 5045 4216 4094 289 242 200
"Afu7g01000" 25685 18926 15788 434 570 344 43472 37608 45541 54 65 66
"Afu6g13020" 161 163 126 140 146 150 246 188 137 294 125 309
"Afu2g07400" 794 732 660 1338 1196 1381 1113 999 842 927 668 826
"Afu3g13090" 860 697 690 362 433 317 1296 944 774 1151 682 1168
"Afu6g07630" 140 130 151 292 292 318 292 211 177 495 299 387
"Afu3g12210" 530 538 441 113 108 152 1186 365 503 75 44 69
"Afu6g12930" 30701 28079 27147 3533 4183 4402 29814 32423 28238 55529 47099 46839
"Afu6g10880" 423 328 325 31 45 45 515 392 371 22 14 14
"Afu4g08030" 5556 4785 4676 3345 3848 4086 4984 5201 4330 1116 1222 1000
"Afu4g10920" 1542 1431 1422 1299 1353 1489 2111 1819 1521 1354 617 1242
"Afu6g13420" 3829 3078 2669 2012 2373 2487 3425 3187 2804 6990 9090 5919
"Afu3g10360" 1627 1255 1329 2015 2178 2206 1500 1698 1261 2564 1585 2434
"Afu1g17260" 130 97 73 468 340 445 199 89 85 60 150 37
"Afu1g15020" 16743 14850 13882 7268 7383 8164 17961 17812 14798 2848 1218 2299
"Afu8g02590" 31 32 24 71 71 76 43 33 21 157 59 170
"Afu7g04060" 811 827 680 940 1032 1283 855 1020 761 758 764 822
"Afu7g05550" 8 9 12 12 14 18 33 20 25 11 16 13
"Afu3g07570" 1040 953 959 1088 1193 1225 1130 1145 901 1068 2571 1223
"Afu3g08940" 1619 1429 1340 1388 1476 1513 1919 1808 1512 3117 1405 3247
"Afu8g02080" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu8g00380" 700 1018 910 2234 1679 2367 5902 2689 2983 176 153 201
"Afu2g01790" 1907 1504 1591 631 789 801 1321 1469 1138 173 105 145
"Afu3g08440" 2343 1545 1417 3328 3793 4005 2504 2674 2159 905 324 838
"Afu5g06310" 285 237 193 319 331 343 327 250 200 659 200 585
"Afu2g08590" 161 146 144 223 162 211 294 179 161 38 15 25
"Afu2g05635" 36 42 52 36 18 31 133 61 63 66 318 53
"Afu2g11360" 140 121 87 116 114 103 213 136 127 22 8 22
"Afu5g10050" 19 28 20 59 54 58 37 41 26 83 56 65
"Afu5g00710" 804 526 629 1259 1535 1256 461 694 376 289 45 219
"Afu1g06270" 74 67 56 89 89 99 109 72 74 41 7 34
"Afu8g04880" 659 549 463 704 560 681 973 717 587 615 179 586
"Afu4g08130" 895 935 918 754 710 878 987 942 729 1097 903 1221
"Afu5g12060" 557 450 432 494 594 618 719 586 464 361 216 283
"Afu2g11550" 572 443 439 779 821 815 509 588 401 148 88 138
"Afu7g05140" 28 63 48 2 5 3 70 65 50 4 7 2
"Afu7g03740" 4816 4148 4005 3567 4118 4134 5135 5184 3839 1810 1563 1503
"Afu2g03010" 10228 8214 8119 5240 5446 5884 7453 8239 6559 4075 3817 3938
"Afu6g08340" 63 62 55 57 63 59 69 52 58 28 5 23
"Afu2g11490" 1113 1251 1129 1746 1944 2171 706 727 688 2662 2681 2916
"Afu3g05580" 2789 2208 2228 2582 3066 3154 2346 2546 2039 2352 1040 2428
"Afu2g16700" 251 212 200 462 434 475 493 408 323 436 274 487
"Afu4g00420" 147 105 90 499 430 508 237 152 135 74 63 61
"Afu7g02200" 30 14 11 14 14 12 11 12 5 25 20 32
"Afu2g04010" 2627 2165 2006 2068 2368 2323 3130 2299 2133 1643 1368 1366
"Afu3g10900" 396 336 317 312 316 318 494 390 337 497 1674 529
"Afu4g09170" 35 26 36 48 43 53 49 39 37 150 186 109
"Afu5g11790" 152 82 103 208 228 280 233 224 152 161 69 154
"Afu8g06350" 29 19 19 9 2 4 5 14 8 1 0 0
"Afu3g08030" 397 334 331 452 407 499 766 555 505 221 175 236
"Afu1tS(AGA)2" 1 1 0 1 0 0 0 0 0 0 0 1
"Afu3g15000" 371 208 195 123 151 121 156 130 113 69 49 51
"Afu5g02240" 779 666 617 874 841 874 754 702 629 1808 740 1821
"Afu5g07680" 239 164 169 409 409 366 347 275 254 280 101 226
"Afu1g11330" 9 8 2 14 14 14 3 3 5 6 8 5
"Afu4g09540" 123 211 166 121 119 133 856 146 188 40 20 37
"Afu5g04080" 1011 791 807 651 726 773 997 918 662 146 72 161
"Afu3g06410" 1247 989 959 1089 1220 1017 1408 1286 935 2450 2101 2450
"Afu2g12080" 389 322 264 290 360 311 382 573 399 1385 999 1635
"Afu3g00660" 326 201 218 281 278 375 360 347 316 7209 16937 7546
"Afu1g02590" 695 669 613 1069 982 1161 1077 988 642 781 640 717
"Afu3g14260" 2554 2374 2113 841 1181 1292 1774 2283 1956 5762 18296 4454
"Afu5g08030" 2979 2513 2481 7477 7872 8162 2172 1928 1616 3243 4043 2892
"Afu6g06360" 238 271 263 922 1066 1600 400 414 370 456 544 630
"Afu2g04710" 3576 3321 3454 1148 1173 1457 4887 5622 4384 285 144 247
"Afu6g07810" 778 695 648 660 761 864 881 762 629 422 201 442
"Afu6g09165" 158 97 134 152 212 177 144 165 131 422 293 367
"Afu8tM(CAU)8" 0 1 0 1 0 0 2 0 0 0 0 0
"Afu1g09190" 366 329 251 687 635 609 647 459 348 1733 1347 1519
"Afu7g01520" 530 396 433 459 480 484 547 524 380 833 637 930
"Afu6g07940" 3475 2514 2454 1870 1893 1909 2632 2507 2180 4830 1736 5008
"Afu1g10320" 706 713 569 914 894 895 1016 822 661 728 397 685
"Afu6g00520" 725 537 537 745 814 760 1613 1157 916 553 1415 395
"Afu6g06970" 196 146 140 725 806 872 214 139 146 340 261 382
"Afu7g02080" 595 594 521 390 426 525 598 678 531 149 141 117
"Afu4g12400" 899 689 655 1079 1335 1358 1023 855 749 1182 1463 1267
"Afu5g00640" 178 155 160 147 138 162 279 203 169 19 9 17
"Afu2g02230" 635 507 495 672 681 746 710 687 515 640 839 666
"Afu5g08540" 4158 3339 3156 3790 4656 4544 3618 3521 2838 1116 560 1053
"Afu3g01750" 365 233 234 76 98 97 167 179 147 173 151 201
"Afu3g08670" 277 250 250 271 285 256 386 336 308 247 189 244
"AfuMttL(UAG)1" 0 0 0 0 0 0 0 0 0 0 0 0
"Afu1g09751" 23 28 13 17 16 21 27 25 19 13 18 8
"Afu4g13920" 32 35 26 21 9 10 46 13 19 2 2 4
"Afu4g00370" 93 65 95 354 387 437 143 100 91 32 16 35
"Afu5g01960" 2911 2553 2615 2238 2560 2841 2870 3181 2594 1602 1029 1776
"Afu6g00430" 2157 2321 2636 291 446 322 5797 3377 3246 185 375 168
"Afu7g01590" 1974 1634 1529 2553 2299 2545 2044 1696 1600 2897 1311 2659
"Afu2g08640" 1381 930 1016 870 1049 931 1650 1497 1187 3907 4757 3608
"Afu2g12830" 12 17 14 114 73 95 32 24 16 272 223 262
"Afu4g08320" 1037 988 903 1158 1045 1319 1087 1078 869 229 164 217
"Afu4g13080" 563 500 419 975 839 890 825 731 561 1148 554 1081
"Afu7g03910" 1956 1458 1618 1341 1845 1913 2311 2189 1797 1724 1888 1673
"Afu1g13730" 991 922 786 1303 1287 1506 1357 1137 885 1866 1626 2190
"Afu1g01750" 372 321 268 292 338 383 408 318 258 209 87 156
"Afu4g09890" 973 985 1084 3324 3395 4048 1748 1746 1340 1053 1696 1232
"Afu3tK(CUU)4" 0 0 1 0 0 0 0 0 1 1 0 0
"Afu8g02660" 639 546 564 503 542 567 599 714 487 157 113 154
"Afu2g10980" 774 614 610 962 944 1099 1196 992 767 1743 1274 1950
"Afu1tY(GUA)1" 0 1 1 1 0 1 0 1 0 1 0 0
"Afu5g12530" 2021 2442 2207 1477 2065 3230 1332 1322 1375 4157 13880 4659
"Afu2g05510" 3485 2933 2854 3438 3133 3524 3387 3335 2777 3508 2555 3425
"Afu1g05790" 30173 19618 20240 28374 33239 31990 13580 20090 13721 13318 16756 11406
"Afu3g10400" 2060 1734 1675 1869 2041 2236 1512 1537 1234 1626 991 1588
"Afu1g16460" 3262 3094 3073 3238 4022 4026 3314 2939 2568 1796 2158 1821
"Afu6g12940" 197 180 191 255 206 226 296 239 181 179 111 163
"Afu1g04760" 372 355 332 371 426 375 438 429 357 438 201 501
"Afu1g00810" 469 318 347 546 608 707 367 434 312 142 114 111
"Afu1g07220" 37038 21394 21523 4606 7439 5762 9942 10325 8947 5355 8655 5241
"Afu5g03960" 46 38 37 56 39 41 125 46 56 30 27 24
"Afu7g04280" 248 224 217 203 196 230 349 297 248 121 62 79
"Afu3g01970" 110 87 79 122 111 134 80 96 88 46 20 47
"Afu8g00770" 33 24 31 5 9 5 20 18 12 1 2 1
"Afu4g11560" 7055 5218 5184 2678 4480 3929 5413 5865 4796 4842 5000 4209
"Afu5g12030" 43 28 29 8 17 18 57 45 38 22 24 14
"Afu1g04910" 713 517 452 1372 1424 1467 974 658 523 1894 1828 1960
"Afu5g02850" 2760 1978 1829 5087 4324 4471 2011 1961 1553 825 113 759
"Afu1g09790" 413 362 343 554 596 635 537 512 401 606 273 569
"Afu1g02500" 371 313 265 289 360 312 537 430 322 332 142 230
"Afu5g07130" 1093 823 764 561 597 591 726 651 528 329 199 340
"Afu1g03420" 519 430 349 699 683 736 683 412 337 298 129 232
"Afu1g13020" 682 558 534 660 577 633 740 676 570 557 188 496
"Afu1g06720" 484 344 331 733 615 667 823 507 426 847 786 739
"Afu5g03340" 4938 3542 3558 1837 2332 2310 3608 4087 3422 2765 3103 2453
"Afu1g12200" 408 333 299 474 464 475 665 707 446 221 68 162
"Afu4g02830" 140 90 95 116 104 113 101 87 84 10 20 6
"Afu4g03630" 2097 1785 1678 1428 1641 1712 3704 2991 2257 483 259 264
"Afu4g08760" 1021 922 852 1510 1531 1687 1331 1659 1369 692 277 726
"Afu1g12320" 48 40 46 138 124 140 87 52 51 138 93 105
"Afu2g17240" 53 50 44 763 503 749 281 395 291 143 285 141
"Afu4g13610" 5 4 7 4 6 5 6 6 5 6 7 8
